RetiredBulkRunScheduleId,RetiredClientId,ScheduleName,SurvivorClientId,SurvivorIds
2699,13713,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2700,13713,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2801,14578,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2802,14578,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2803,14578,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2804,14578,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
2805,14578,AKL > HLZ Afternoon Medical Run,9477,"2511, 2512, 2513, 2514, 2515"
7144,36672,AKL > HLZ Afternoon Medical Run 10am Cutoff,169,"6988, 6989, 6990, 6991, 6992"
7145,36672,AKL > HLZ Afternoon Medical Run 10am Cutoff,169,"6988, 6989, 6990, 6991, 6992"
7146,36672,AKL > HLZ Afternoon Medical Run 10am Cutoff,169,"6988, 6989, 6990, 6991, 6992"
7147,36672,AKL > HLZ Afternoon Medical Run 10am Cutoff,169,"6988, 6989, 6990, 6991, 6992"
7148,36672,AKL > HLZ Afternoon Medical Run 10am Cutoff,169,"6988, 6989, 6990, 6991, 6992"
7139,36672,AKL > HLZ Afternoon Medical Run 9:30am Cutoff,169,"6983, 6984, 6985, 6986, 6987"
7140,36672,AKL > HLZ Afternoon Medical Run 9:30am Cutoff,169,"6983, 6984, 6985, 6986, 6987"
7141,36672,AKL > HLZ Afternoon Medical Run 9:30am Cutoff,169,"6983, 6984, 6985, 6986, 6987"
7142,36672,AKL > HLZ Afternoon Medical Run 9:30am Cutoff,169,"6983, 6984, 6985, 6986, 6987"
7143,36672,AKL > HLZ Afternoon Medical Run 9:30am Cutoff,169,"6983, 6984, 6985, 6986, 6987"
2766,504,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
2767,504,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
2768,504,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
2769,504,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
2770,504,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
4787,13822,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
4788,13822,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
4789,13822,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
4790,13822,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
4791,13822,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00,33103,"2731, 2732, 2733, 2734, 2735"
3225,18185,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #2,14763,"2471, 2472, 2473, 2474, 2475"
3226,18185,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #2,14763,"2471, 2472, 2473, 2474, 2475"
3227,18185,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #2,14763,"2471, 2472, 2473, 2474, 2475"
3228,18185,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #2,14763,"2471, 2472, 2473, 2474, 2475"
3229,18185,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #2,14763,"2471, 2472, 2473, 2474, 2475"
8685,36739,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #3,18188,"2661, 2662, 2663, 2664, 2665"
8686,36739,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #3,18188,"2661, 2662, 2663, 2664, 2665"
8687,36739,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #3,18188,"2661, 2662, 2663, 2664, 2665"
8688,36739,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #3,18188,"2661, 2662, 2663, 2664, 2665"
8689,36739,AKL > HLZ Afternoon Medical Run*12:30:00-17:00:00 #3,18188,"2661, 2662, 2663, 2664, 2665"
2591,16947,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2592,16947,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2593,16947,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2594,16947,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2595,16947,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2666,18188,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2667,18188,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2668,18188,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2669,18188,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2670,18188,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2868,17122,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2869,17122,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2870,17122,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2871,17122,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2872,17122,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
8690,36739,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
8691,36739,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
8692,36739,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
8693,36739,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
8694,36739,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
12630,32946,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
12631,32946,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
12632,32946,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
12633,32946,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
12634,32946,AKL > HLZ Pre 8am Medical Run,9477,"2516, 2517, 2518, 2519, 2520"
2806,14578,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
2807,14578,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
2808,14578,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
2809,14578,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
2810,14578,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6303,35755,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6304,35755,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6305,35755,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6306,35755,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6307,35755,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6993,169,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6994,169,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6995,169,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6996,169,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
6997,169,AKL > HLZ Pre 8am Medical Run #2,16513,"2631, 2632, 2633, 2634, 2635"
2771,504,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
2772,504,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
2773,504,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
2774,504,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
2775,504,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
4792,13822,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
4793,13822,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
4794,13822,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
4795,13822,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
4796,13822,AKL > HLZ Pre 8am Medical Run #3,33103,"2736, 2737, 2738, 2739, 2740"
3230,18185,AKL > HLZ Pre 8am Medical Run #4,13713,"2701, 2702, 2703, 2704, 2705"
3231,18185,AKL > HLZ Pre 8am Medical Run #4,13713,"2701, 2702, 2703, 2704, 2705"
3232,18185,AKL > HLZ Pre 8am Medical Run #4,13713,"2701, 2702, 2703, 2704, 2705"
3233,18185,AKL > HLZ Pre 8am Medical Run #4,13713,"2701, 2702, 2703, 2704, 2705"
3234,18185,AKL > HLZ Pre 8am Medical Run #4,13713,"2701, 2702, 2703, 2704, 2705"
10753,35755,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10754,35755,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10755,35755,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10756,35755,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10757,35755,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10874,18188,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10875,18188,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10876,18188,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10877,18188,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10878,18188,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10979,36739,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
10980,36739,AKL > Masterton,9477,"10633, 10634, 10635, 10636, 10637"
